"metric","value"
"scenario","Motor overload event"
"elapsed runtime","30s"
"good parts","4"
"rejects","0"
"total parts","4"
"availability","90.0%"
"performance","62.2%"
"quality","100.0%"
"overall OEE","56.0%"
"unplanned downtime","3s"
"throughput ppm","8.00"
